MIX1,MIX2,MIX3,MIX4
List A,List B,List B,List B
List B,List B,List A,I don't know
List B,List B,List B,List A
List B,List B,List A,List A
List B,List B,List A,List B
List B,List B,List B,List A
List B,List B,List B,List A
List B,List B,List A,List B
List B,List B,List A,List A
List B,List B,List B,List B
List B,List B,List B,List A
List A,List B,I don't know,List B
List A,List B,List B,List A
List B,List B,List B,List A
List A,List B,List A,List A
List B,List B,List B,List B
List B,List B,List B,List B
I don't know,List A,I don't know,I don't know
List B,I don't know,List A,List B
List B,List B,List B,List A
List B,List B,List B,List B
List B,List B,List B,List B
List B,I don't know,List B,List A
I don't know,List B,I don't know,List A
I don't know,I don't know,I don't know,I don't know
List A,List B,List A,List B
List B,List B,List A,List A
List B,List B,List B,List A
List B,List B,List B,List A
List B,List B,List A,List A
List B,List B,List B,List B
List A,List A,List B,List B
List A,List B,List B,List B
I don't know,List B,List B,List A
List B,List A,List B,List A
List B,List B,List B,List A
List B,List B,List B,List B
List B,I don't know,List B,List B
List B,List B,List B,List A
List A,List B,List B,List A
List B,List B,List A,List A
List B,List B,List B,List A
List B,List A,List A,List A
List B,I don't know,List A,I don't know
List B,List B,List A,List A
I don't know,List B,List A,List A
List B,List B,List A,List B
List A,List B,List B,I don't know
List B,List B,List B,List A
List B,List B,List A,List A
List B,List B,List B,List A
List B,List B,List B,List B
List A,List B,List A,List B
List B,List B,List B,List B
List B,I don't know,List A,List B
List B,List B,List B,List A
List B,List A,List A,List A
List B,List B,List B,List B
List B,List B,List B,List A
List B,List A,List B,List B
List B,List B,List B,List B
List B,List B,List A,List B
List B,List B,List B,List A
I don't know,List B,List B,List A
I don't know,List B,List B,List A
List A,List A,List B,List A
List B,I don't know,List A,List A
I don't know,List B,List A,I don't know
List A,List A,List A,List B
List B,I don't know,List A,List A
List B,List B,List A,I don't know
I don't know,List B,List B,List A
List B,List B,List A,List B
List B,I don't know,List B,List B
I don't know,List B,List B,List A
I don't know,List A,List B,List B
List B,List A,List A,List A
List B,List B,List A,List B
List A,List A,List B,List A
List A,List B,List A,List A
List B,List B,List B,List B
List B,List A,List B,List A
List A,List B,List B,List A
List A,List B,List B,List B
List A,List A,List A,List B
I don't know,List B,List B,List A
I don't know,I don't know,I don't know,I don't know
List B,List B,List A,List B
List B,List B,List A,List B
List B,List B,I don't know,List A
List B,List B,List A,List A
List B,List B,List A,List B
List B,List B,List A,List A
List B,List B,List A,List A
List B,List B,List A,I don't know
List B,List B,List A,List A
List B,List A,List A,List A
List B,List A,List A,List B
List A,List A,List A,I don't know
List A,List B,List A,List A
List A,List A,List A,List A
List B,I don't know,List A,I don't know
List A,List A,List B,List A
List B,List A,List B,I don't know
List B,List B,List B,List A
List B,List B,List A,List A
List B,List A,List B,List A
List B,List B,List B,List B
List B,List B,I don't know,List A
List B,List B,List B,List A
List B,List B,List A,I don't know
List B,List B,List A,List A
List B,List B,List A,List A
List A,List B,List B,I don't know
List B,List A,List A,List A
