TasteVariety,ElectronicMusic,ElectronicTasteVariety,GAPScore
5,4,3,0.149441340785613
5,5,5,0.398044692744408
4,5,4,0.266759776540131
5,5,5,0.237430167605691
5,3,5,0.203910614527106
5,5,4,0.237430167595635
5,4,4,0.361731843579223
4,5,4,0.162011173186207
5,4,5,0.347765363125273
4,5,5,0.170391061454387
3,5,4,0.277932960893234
4,3,2,0.195530726263116
4,5,5,0.150837988827237
4,4,4,0.199720670393016
3,4,2,0.148044692736447
5,5,5,0.410614525149192
5,4,4,0.251396648047071
5,3,4,0.209497206703239
4,3,4,0.329608938549803
3,2,3,0.055865921792335
4,4,4,0.425977653629682
5,4,4,0.199720670388826
4,5,4,0.476256983242951
5,3,5,0.191340782126512
5,5,5,0.396648044696918
5,5,5,0.546089385479179
4,2,3,0.173184357540987
3,4,4,0.315642458100044
5,3,3,0.090782122904164
5,5,5,0.465083798883981
5,5,5,0.143854748602357
5,5,5,0.430167597767962
3,2,2,0.037709497206809
5,5,4,0.117318435756194
5,4,5,0.441340782131121
5,5,5,0.713687150838586
4,4,3,0.402234636872632
4,5,4,0.314245810056744
5,5,5,0.5
4,5,4,0.276536312849935
4,5,4,0.343575418999563
3,4,3,0.201117318437992
4,3,2,0.142458100563247
5,4,4,0.089385474859188
5,5,5,0.290502793295504
5,5,5,0.632681564251767
2,5,5,0.741620111733915
4,3,3,0.185754189947446
2,3,2,0.205307262566216
3,4,4,0.833798882688083
5,5,5,0.229050279331645
5,5,5,1
4,4,3,0.254189944136185
4,5,3,0.115921787707028
5,5,3,0.220670391063466
5,5,5,0.453910614525011
5,4,5,0.572625698331209
5,5,5,0.181564245804976
2,5,4,0.412011173188302
5,5,5,0.329608938549803
5,5,5,0.329608938549803
4,5,4,0.215083798881886
5,5,4,0.241620111733915
4,4,3,0.540502793305979
4,4,3,0.540502793305979
5,3,3,0.148044692742313
5,4,5,0.409217877096255
4,5,4,0.811452513970144
3,5,5,0.192737430168136
5,4,4,0.259776536317765
4,5,4,0.192737430168136
4,4,3,0.540502793305979
3,5,4,0.127094972065998
4,2,2,0.195530726256412
4,4,3,0.540502793305979
4,5,4,0.134078212286687
5,5,2,0.198324022345526
5,5,4,0.141061452511567
4,5,4,0.230446927370755
4,3,2,0.170391061450197
5,5,5,0.231843575418245
4,5,5,0.089385474867568
2,1,1,0.083798882677608
3,1,1,0.058659217877259
3,3,2,0.029329608937373
1,4,1,0.145251396647333
4,5,5,0.381284916206372
5,5,5,0.319832402238324
5,5,5,0.48044692737704
4,4,2,0.756983240226975
4,5,4,0.248603351958795
5,5,5,0.377094972072282
5,5,5,0.437150837984461
4,5,5,0.097765363127368
5,5,4,0.250000000006285
5,5,4,0.748603351957538
5,5,5,0.325418994411524
1,2,1,0
5,5,5,0.226256983240855
4,2,3,0.036312849163509
2,5,2,0.196927374303902
4,5,3,0.269553072625055
5,5,5,0.360335195531733
5,2,3,0.141061452517433
5,5,5,0.539106145245919
4,5,5,0.205307262574596
4,2,3,0.141061452515757
5,4,3,0.337988826823849
3,1,1,0.01955307262715
5,4,4,0.125698324022698
3,4,1,0.127094972061808
5,4,3,0.044692737431689
5,3,4,0.418994413404802
4,5,3,0.331005586600226
4,4,4,0.298882681563684
